VendorNumber,VendorName,Brand,TotalSalesQuantity,TotalSalesDollars,TotalPurchaseQuantity,TotalPurchaseDollars,FreightCost,GrossProfit,ProfitMargin,SalesToPurchaseRatio,StockTurnover,FreightPct,AvgUnitCost,AvgUnitPrice,UnitMargin,UnitMarginPct,LowMarginFlag,HighFreightFlag,LowTurnoverFlag
2,"IRA GOLDMAN AND WILLIAMS, LLP",90085,13,480.87,328,5630.88,27.08,-5177.09,-1076.6090627404496,0.08539872986105192,0.039634146341463415,0.05631459646058186,17.167317073170732,36.99,19.82268292682927,0.5358930231638083,1,0,1
2,"IRA GOLDMAN AND WILLIAMS, LLP",90609,83,2074.17,328,5630.88,27.08,-3583.79,-172.7818838378725,0.36835627823714945,0.2530487804878049,0.013055824739534367,17.167317073170732,24.990000000000002,7.82268292682927,0.3130325300852048,1,0,1
60,ADAMBA IMPORTS INTL INC,771,137,2053.63,4732,76770.25,367.52,-75084.14,-3656.1668849792804,0.026750336230505958,0.028951817413355875,0.17896115658614256,16.223636939983095,14.99,-1.2336369399830946,-0.08229732755057335,1,1,1
60,ADAMBA IMPORTS INTL INC,3979,79412,1351615.88,4732,76770.25,367.52,1274478.1099999999,94.29292218733032,17.60598513095893,16.78191039729501,0.00027191157298329466,16.223636939983095,17.02029768800685,0.7966607480237542,0.04680651082766383,0,0,0
105,ALTAMAR BRANDS LLC,2529,24,719.76,332,11706.199999999999,62.39,-11048.829999999998,-1535.0714126931196,0.06148536672874204,0.07228915662650602,0.08668167166833389,35.25963855421686,29.99,-5.269638554216865,-0.17571318953707454,1,1,1
105,ALTAMAR BRANDS LLC,8412,1346,67286.54000000001,332,11706.199999999999,62.39,55517.95000000001,82.50974117557539,5.7479404076472305,4.054216867469879,0.0009272285363461993,35.25963855421686,49.99000000000001,14.730361445783146,0.2946661621480925,0,0,0
200,AMERICAN SPIRITS EXCHANGE,19715,38,417.62,132,1205.16,6.1899999999999995,-793.7300000000001,-190.06034193764668,0.3465266022768761,0.2878787878787879,0.014822087064795746,9.13,10.99,1.8599999999999994,0.16924476797088256,1,0,1
200,AMERICAN SPIRITS EXCHANGE,20789,138,2482.62,132,1205.16,6.1899999999999995,1271.2699999999998,51.20678960130829,2.059992034252713,1.0454545454545454,0.002493333655573547,9.13,17.99,8.859999999999998,0.4924958310172317,0,0,0
287,APPOLO VINEYARDS LLC,24921,33,490.17,230,2399.7,12.28,-1921.8099999999997,-392.0700981292204,0.2042630328791099,0.14347826086956522,0.02505253279474468,10.433478260869565,14.853636363636364,4.420158102766798,0.2975808747807992,1,0,1
287,APPOLO VINEYARDS LLC,24922,40,588.1,230,2399.7,12.28,-1823.8799999999999,-310.1309301139262,0.24507230070425473,0.17391304347826086,0.020880802584594453,10.433478260869565,14.7025,4.2690217391304355,0.2903602611209274,1,0,1
388,ATLANTIC IMPORTING COMPANY,2034,13214,380389.86,1847,41116.32,211.74,339061.8,89.1353413048392,9.25155412741218,7.154304277206281,0.0005566394435435267,22.26113697888468,28.786882094747995,6.525745115863316,0.22669162622005187,0,0,0
388,ATLANTIC IMPORTING COMPANY,2119,99,8509.01,1847,41116.32,211.74,-32819.049999999996,-385.69763109927,0.20694969783288,0.05360043313481321,0.024884210971664156,22.26113697888468,85.94959595959597,63.68845898071129,0.7409977704915633,1,0,1
388,ATLANTIC IMPORTING COMPANY,7241,67,2104.33,1847,41116.32,211.74,-39223.729999999996,-1863.9533723322863,0.051179920771119596,0.03627504060638874,0.10062110030270918,22.26113697888468,31.407910447761193,9.146773468876514,0.2912251511952624,1,1,1
480,BACARDI USA INC,126,4245559,127364867.41,1427075,17624378.72,89286.27,109651202.42,86.09218903908723,7.22663019408834,2.9750076204824554,0.0007010274639754364,12.350001730813025,29.99955186348841,17.649550132675387,0.5883271261180453,0,0,0
480,BACARDI USA INC,128,4,129.96,1427075,17624378.72,89286.27,-17713535.029999997,-13629990.020006154,7.373876949916111e-06,2.802936075539127e-06,687.0288550323177,12.350001730813025,32.49,20.139998269186975,0.6198829876634957,1,1,1
480,BACARDI USA INC,129,10,319.9,1427075,17624378.72,89286.27,-17713345.09,-5537150.700218818,1.8150994431195474e-05,7.0073401888478185e-06,279.1068146295718,12.350001730813025,31.99,19.639998269186975,0.6139418027254447,1,1,1
480,BACARDI USA INC,201,46,896.54,1427075,17624378.72,89286.27,-17712768.45,-1975680.7783255626,5.0869310870096873e-05,3.2233764868699966e-05,99.58983425167868,12.350001730813025,19.49,7.1399982691869734,0.3663416248941495,1,1,1
480,BACARDI USA INC,278,690,19973.1,1427075,17624378.72,89286.27,-17693691.889999997,-88587.60978516104,0.0011332654794426705,0.00048350647303049946,4.470326088589153,12.350001730813025,28.946521739130432,16.596520008317405,0.5733510975131056,1,1,1
480,BACARDI USA INC,443,250956,8917994.44,1427075,17624378.72,89286.27,-8795670.549999999,-98.62834754133351,0.5060033367235767,0.17585340644324932,0.010011922590972147,12.350001730813025,35.536087760404214,23.186086029591188,0.6524659153792975,1,0,1
480,BACARDI USA INC,508,1987979,27127924.71,1427075,17624378.72,89286.27,9414259.720000003,34.70320645843462,1.5392272908443267,1.3930445141285497,0.003291304843790242,12.350001730813025,13.64598152696784,1.2959797961548158,0.09497153382434519,0,0,0
480,BACARDI USA INC,540,2191,2169.09,1427075,17624378.72,89286.27,-17711495.9,-816540.387904605,0.0001230732744944101,0.001535308235376557,41.16300845054839,12.350001730813025,0.9900000000000001,-11.360001730813025,-11.474749223043458,1,1,1
