VendorNumber,VendorName,Brand,TotalSalesQuantity,TotalSalesDollars,TotalPurchaseDollars,FreightCost
480,BACARDI USA INC            ,3782,201250,4952523.5,138123.68,699.7437119232309
480,BACARDI USA INC            ,3830,163355,4025295.4499999997,112913.99999999999,572.0298032031849
480,BACARDI USA INC            ,3831,18869,75287.31,16686.86,84.5367380650681
480,BACARDI USA INC            ,3847,149185,595248.15,62758.54,317.9389206433145
480,BACARDI USA INC            ,3851,481722,7202895.78,250508.82,1269.0942753357608
480,BACARDI USA INC            ,3857,2030296,104773240.04,1277758.76,6473.210514408715
480,BACARDI USA INC            ,3858,9032539,215671801.10999998,2466635.93,12496.141006534222
480,BACARDI USA INC            ,3961,97985,2412703.65,81474.28000000001,412.7540991774377
480,BACARDI USA INC            ,4025,7707,13795.53,4379.89,22.1888128553731
480,BACARDI USA INC            ,4028,14,195.85999999999999,95.88,0.4857344309042402
480,BACARDI USA INC            ,4042,1545,1529.55,167.76,0.8498832720952787
480,BACARDI USA INC            ,4050,61839,745400.61,56366.08000000001,285.55429485922906
480,BACARDI USA INC            ,4058,30,479.7,260.48,1.319608933687281
480,BACARDI USA INC            ,4066,305870,6265655.3,126598.2,641.3548668179096
480,BACARDI USA INC            ,4075,41633,900539.6699999999,51529.89,261.05383597943364
480,BACARDI USA INC            ,4092,4503,48354.97,17299.74,87.64162874104423
480,BACARDI USA INC            ,4102,35519,385286.81,42812.81,216.89253129705216
480,BACARDI USA INC            ,4160,466,10105.34,1255.5,6.360446161871856
480,BACARDI USA INC            ,4179,174746,3768180.5399999996,101952.76000000001,516.4994353120212
480,BACARDI USA INC            ,4192,271,5075.29,9408.779999999999,47.665502699240676
480,BACARDI USA INC            ,4196,171964,1963436.36,81164.8,411.1862529980859
480,BACARDI USA INC            ,4200,9118,105930.82,12119.039999999999,61.395859381578255
480,BACARDI USA INC            ,4204,82284,912345.16,49830.119999999995,252.4426885699833
480,BACARDI USA INC            ,4214,302,4108.98,847.84,4.295213599268367
480,BACARDI USA INC            ,4216,908,19030.92,15549.480000000001,78.77469564723472
480,BACARDI USA INC            ,4221,70555,1273495.95,118310.42,599.3684243715231
480,BACARDI USA INC            ,4222,469517,5162646.83,168237.44,852.3020147599734
480,BACARDI USA INC            ,4223,538853,11520311.469999999,197481.12,1000.4524346843133
480,BACARDI USA INC            ,4226,1056925,12211370.75,200501.75999999998,1015.7551970056167
480,BACARDI USA INC            ,4227,2160439,38068044.61,967725.98,4902.563914961912
480,BACARDI USA INC            ,4228,19402,420367.98,40219.2,203.75313124138313
480,BACARDI USA INC            ,4229,153535,3291068.65,87082.79999999999,441.1672329948661
480,BACARDI USA INC            ,4232,126995,1052788.55,22109.760000000002,112.0095086673898
480,BACARDI USA INC            ,4233,440606,5501592.94,99453.19,503.83644812537824
480,BACARDI USA INC            ,4234,77805,869051.95,61778.68,312.97488497929874
480,BACARDI USA INC            ,4237,6735,6667.65,5909.76,29.93923561097875
480,BACARDI USA INC            ,4243,6330884,136207187.16,1106876.61,5607.5102236083085
480,BACARDI USA INC            ,4244,42590,453957.1,34253.04,173.52816949457838
480,BACARDI USA INC            ,4245,3190489,35288189.11,466410.88,2362.86841222722
480,BACARDI USA INC            ,4246,531762,3674043.38,131664.0,667.0185451666237
480,BACARDI USA INC            ,4247,204328,2315846.72,97877.5,495.85389821474524
480,BACARDI USA INC            ,4251,6843,6774.57,8314.800000000001,42.12332755613868
480,BACARDI USA INC            ,4252,21845,21626.55,3303.3,16.73473660415078
480,BACARDI USA INC            ,4257,21305,21091.95,10117.03,51.25354411233965
480,BACARDI USA INC            ,4258,89926,1012458.74,54132.74999999999,274.2400971478046
480,BACARDI USA INC            ,4259,215,2277.85,688.86,3.4898103887431673
480,BACARDI USA INC            ,4267,419199,9151932.01,181660.6,920.3046324439176
480,BACARDI USA INC            ,4277,107467,453113.83,58312.799999999996,295.41650732616574
480,BACARDI USA INC            ,4290,2232,24349.68,4808.57,24.360534130300397
