VendorNumber,VendorName,Brand,TotalSalesQuantity,TotalSalesDollars,TotalPurchaseQuantity,TotalPurchaseDollars,FreightCost,GrossProfit,ProfitMargin
516,BANFI PRODUCTS CORP        ,16708,216,2733.84,54,390.42,2.0398442137695394,2341.3801557862307,85.6443740594267
516,BANFI PRODUCTS CORP        ,16829,26460,375962.9,2186,20810.719999999998,108.73066640125512,355043.4493335988,94.43576728810176
516,BANFI PRODUCTS CORP        ,16830,15554,204432.46,1222,11792.300000000001,61.61173844074213,192578.54826155925,94.20155109494806
516,BANFI PRODUCTS CORP        ,16987,36,244.44,36,168.48,0.8802647229544901,75.07973527704551,30.71499561325704
516,BANFI PRODUCTS CORP        ,17063,884,14402.16,346,3688.36,19.270733579988267,10694.529266420011,74.25642588625603
516,BANFI PRODUCTS CORP        ,17172,3,17.97,1,4.1,0.021421446843028307,13.84857855315697,77.06498916614899
516,BANFI PRODUCTS CORP        ,17202,6650,65696.5,1294,7919.28,41.37620379391639,57735.843796206085,87.88267837130759
516,BANFI PRODUCTS CORP        ,17967,46676,671121.24,4445,39827.200000000004,208.0868896845505,631085.9531103155,94.03456715366593
516,BANFI PRODUCTS CORP        ,18027,105294,1616841.14,6771,61480.68,321.22076060810576,1555039.2392393919,96.17761453295233
516,BANFI PRODUCTS CORP        ,18096,10866,346587.33999999997,1289,26991.660000000003,141.0244902183155,319454.6555097816,92.17147271154845
516,BANFI PRODUCTS CORP        ,18142,14050,834132.5,1203,48601.2,253.92878592863107,785277.3712140714,94.14300140733893
516,BANFI PRODUCTS CORP        ,18152,247793,2454263.87,12783,67238.58,351.30430909041615,2386673.9856909094,97.24602211134328
516,BANFI PRODUCTS CORP        ,18275,534,7140.66,144,1182.2400000000002,6.176900320902876,5952.243099679097,83.3570440222486
516,BANFI PRODUCTS CORP        ,18299,2784,22244.16,360,1983.6,10.363800477519744,20250.19619952248,91.03601214665998
516,BANFI PRODUCTS CORP        ,18347,108843,1670118.57,10798,92646.84,484.05594103281675,1576987.6740589673,94.42369556186463
516,BANFI PRODUCTS CORP        ,18575,3779,151143.21,614,16172.759999999998,84.49851674269621,134885.9514832573,89.24380492068236
516,BANFI PRODUCTS CORP        ,18734,3314,30874.86,652,3931.56,20.541391109799115,26922.7586088902,87.19961356550345
516,BANFI PRODUCTS CORP        ,18801,12151,142149.49,1993,14230.019999999999,74.34819926956821,127845.12180073041,89.93709495597236
516,BANFI PRODUCTS CORP        ,18807,1,11.99,1,7.94,0.041484460471620674,4.008515539528379,33.43215629298064
516,BANFI PRODUCTS CORP        ,19000,485,5508.15,304,2024.64,10.578223935675325,3472.931776064324,63.05078431168948
516,BANFI PRODUCTS CORP        ,19275,58,637.42,48,342.71999999999997,1.7906239663518684,292.90937603364813,45.9523353571661
516,BANFI PRODUCTS CORP        ,19356,8195,153195.05,733,8979.25,46.914274772015105,144168.88572522797,94.10805748960425
516,BANFI PRODUCTS CORP        ,20030,7234,74801.16,1259,6534.21,34.13956882345951,68232.81043117653,91.21892017607284
516,BANFI PRODUCTS CORP        ,21076,9869,96609.31,1283,7787.81,40.68930681429373,88780.8106931857,91.89674441643947
516,BANFI PRODUCTS CORP        ,21352,176,14102.24,149,7840.379999999999,40.96397156076641,6220.896028439234,44.11282199451459
516,BANFI PRODUCTS CORP        ,21517,6319,49225.01,475,2403.5,12.557670118833789,46808.95232988117,95.09180867587669
