VendorNumber,VendorName,UpsideTotal,BrandsNeedingAction,BrandCount,TotalSalesDollars,TotalPurchaseDollars,PurchaseShare,CurrentMargin,StockTurnover,BrandTurnoverMedian,ActionScore
10754,PERFECTA WINES             ,722841.8690994252,300,745,78744705.45,5603129.44,0.017428344961789858,92.84836518131067,11.788719446540608,1.4,0.8963709677419356
9165,ULTRA BEVERAGE COMPANY LLP ,695271.2933517399,243,811,355793652.43,13095532.540000001,0.04073321186123877,96.30038526365439,18.425896909444564,2.3125,0.8790322580645162
7153,PINE STATE TRADING CO      ,149287.02028034776,165,396,59779987.46,3122158.26,0.009711367863845313,94.75073830287205,13.163264921105444,1.4179814783056082,0.8524193548387098
9552,M S WALKER INC             ,501503.2457155857,258,813,441330293.88,10876635.41,0.033831407248214256,97.52296936124026,31.88443782902297,2.1096345514950166,0.8487903225806452
2000,SOUTHERN WINE & SPIRITS NE ,134281.31405852,110,300,105796329.6,3706682.58,0.011529511027697628,96.478586104081,19.55678462631632,1.7464285714285714,0.8407258064516129
12546,JIM BEAM BRANDS COMPANY    ,224863.26617810593,42,366,1315992970.24,24200632.54,0.0752752505036965,98.15162381795491,31.594495616630937,6.529866670751537,0.8338709677419356
3960,DIAGEO NORTH AMERICA INC   ,113455.69962247807,57,395,3459189868.95,50959787.410000004,0.15850869833929015,98.51939843221348,39.11801870659057,8.039423076923077,0.8201612903225807
9744,FREDERICK WILDMAN & SONS   ,81684.32632754,52,120,9623636.34,754952.04,0.0023482528332822122,92.11391352537852,9.51735425249732,1.3283333333333334,0.8092741935483871
3252,E & J GALLO WINERY         ,55015.94165360729,53,499,576736515.09,12285547.23,0.03821377989954161,97.85907544586058,29.892566807200048,7.651443922095366,0.7931451612903225
4692,KOBRAND CORPORATION        ,49338.76923904728,81,180,39644019.68,1805013.13,0.005614432403724738,95.42393357761611,15.848714013186102,1.2621158392434988,0.7903225806451613
1128,BROWN-FORMAN CORP          ,86947.59771795176,25,127,960780518.73,13529433.08,0.042082844842451304,98.58468875097775,37.81701125708413,5.026198538584922,0.7895161290322581
8112,MOET HENNESSY USA INC      ,62172.89850507563,22,114,378142023.09,9464386.36,0.029438654255636586,97.48436060996616,25.011078571378487,5.230710466004584,0.7838709677419354
90047,CRUSH WINES                ,36006.483714297916,67,131,2344678.9899999998,286185.52,0.0008901703983531765,87.73230138733157,5.808729825632416,1.0,0.7790322580645163
90024,VINILANDIA USA             ,26781.852951906603,70,172,6049910.88,548308.29,0.00170549442518842,90.89064041839843,7.191636926806276,1.3924119241192412,0.7608870967741936
8664,"STOLI GROUP,(USA) LLC      ",110890.3154788888,9,44,241371580.25,3659812.09,0.011383721950897695,98.47607458285158,32.402828374178426,4.196812215114345,0.7566532258064517
1392,CONSTELLATION BRANDS INC   ,27934.88217257444,75,453,944365987.27,15569709.29,0.04842905511404788,98.34288644450633,36.58329811261372,6.523540489642184,0.7564516129032257
8352,LUXCO INC                  ,75222.85891748409,9,66,73648033.9,2051436.01,0.006380922452742371,97.20060740141497,19.886676551578056,8.594870719711782,0.7493951612903226
3664,WILLIAM GRANT & SONS INC   ,32847.591607805065,13,80,203469390.44,5958031.18,0.01853225484259737,97.05692742030716,24.439170884486792,5.961496438197921,0.7477822580645161
7239,REMY COINTREAU USA INC     ,75759.30216126952,6,44,135891202.41,3354958.28,0.010435484466739923,97.5186495592066,28.321677683105865,6.095260861250674,0.7441532258064515
653,STATE WINE & SPIRITS   ,25619.28632286732,65,212,29112720.31,1516654.71,0.004717503273278541,94.76310899402885,14.01776717744307,1.7853618421052633,0.7366935483870968
8004,SAZERAC CO INC             ,29786.257308860273,23,139,593040142.02,9916770.26,0.03084577910413194,98.31932728094081,39.07202373940822,8.507567127746135,0.7348790322580645
480,BACARDI USA INC            ,28850.529795925744,18,164,1228342942.74,17624329.02,0.05481988042036805,98.55792593241887,38.39611353849496,7.737849246737663,0.730241935483871
10050,Russian Standard Vodka     ,48595.485199541065,4,9,770368.48,138907.27000000002,0.0004320663738334919,81.87362624182131,4.481325207063604,1.1839887640449438,0.7262096774193548
