VendorNumber,VendorName,Brand,TotalSalesQuantity,TotalSalesDollars,TotalPurchaseQuantity,TotalPurchaseDollars,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio,FreightPct,AvgUnitCost,AvgUnitPrice,UnitMargin,UnitMarginPct,Reason_LowMargin,Reason_HighFreight,Reason_LowTurnover
480,BACARDI USA INC,4160,466,10105.34,1427075,17624378.72,89286.27,-17703559.65,-175190.14352807525,0.0003265420528003083,0.0005733728354652606,8.835553281730254,12.350001730813025,21.685278969957082,9.335277239144057,0.43048914667305904,1,1,1
480,BACARDI USA INC,565,521,10753.789999999999,1427075,17624378.72,89286.27,-17702911.2,-164620.2055275396,0.0003650824238389713,0.0006101656217700705,8.302772324919866,12.350001730813025,20.64067178502879,8.290670054215765,0.4016666773524882,1,1,1
480,BACARDI USA INC,3199,276,12969.24,1427075,17624378.72,89286.27,-17700695.75,-136482.13580749527,0.00019340258921219977,0.0007358693435974917,6.884464317107248,12.350001730813025,46.99,34.639998269186975,0.7371780861712487,1,1,1
480,BACARDI USA INC,4025,7707,13795.53,1427075,17624378.72,89286.27,-17699869.459999997,-128301.4821467533,0.005400557083545013,0.0007827526983600816,6.47211596799833,12.350001730813025,1.79,-10.560001730813024,-5.8994423077167735,1,1,1
480,BACARDI USA INC,23205,1021,16325.79,1427075,17624378.72,89286.27,-17697339.2,-108401.11994580353,0.0007154494332813622,0.0009263186101121187,5.469032126469837,12.350001730813025,15.99,3.639998269186975,0.227642168179298,1,1,1
480,BACARDI USA INC,2200,1099,16541.01,1427075,17624378.72,89286.27,-17697123.979999997,-106989.37960862122,0.0007701066867543752,0.0009385301043962133,5.397872923116545,12.350001730813025,15.050964513193811,2.7009627823807865,0.17945446486257396,1,1,1
480,BACARDI USA INC,2184,1119,16797.81,1427075,17624378.72,89286.27,-17696867.18,-105352.228534553,0.0007841213671320709,0.0009531008307792425,5.315351822648309,12.350001730813025,15.011447721179627,2.6614459903666017,0.17729442488159033,1,1,1
480,BACARDI USA INC,804,1151,16983.99,1427075,17624378.72,89286.27,-17696681.0,-104196.25188191938,0.0008065448557363838,0.0009636646074069386,5.2570844660177025,12.350001730813025,14.75585577758471,2.405854046771685,0.16304402015275615,1,1,1
480,BACARDI USA INC,4216,908,19030.92,1427075,17624378.72,89286.27,-17694634.069999997,-92978.34298079125,0.0006362664891473819,0.0010798065737434403,4.691642337837583,12.350001730813025,20.959162995594713,8.609161264781688,0.4107588297581921,1,1,1
480,BACARDI USA INC,278,690,19973.1,1427075,17624378.72,89286.27,-17693691.889999997,-88587.60978516104,0.00048350647303049946,0.0011332654794426705,4.470326088589153,12.350001730813025,28.946521739130432,16.596520008317405,0.5733510975131056,1,1,1
480,BACARDI USA INC,2679,1030,20501.7,1427075,17624378.72,89286.27,-17693163.29,-86300.95694503382,0.0007217560394513253,0.0011632580260395131,4.3550666530092625,12.350001730813025,19.904563106796118,7.554561375983093,0.3795391707645017,1,1,1
480,BACARDI USA INC,4257,21305,21091.95,1427075,17624378.72,89286.27,-17692573.04,-83883.05984036563,0.014929138272340277,0.0011967485682808797,4.233191810145577,12.350001730813025,0.99,-11.360001730813025,-11.47474922304346,1,1,1
480,BACARDI USA INC,4252,21845,21626.55,1427075,17624378.72,89286.27,-17692038.439999998,-81807.03089489539,0.015307534642538059,0.0012270815524100358,4.128548936376815,12.350001730813025,0.99,-11.360001730813025,-11.47474922304346,1,1,1
480,BACARDI USA INC,4298,22183,21961.170000000002,1427075,17624378.72,89286.27,-17691703.819999997,-80559.02221967225,0.015544382740921115,0.0012460677535871747,4.065642677507619,12.350001730813025,0.9900000000000001,-11.360001730813025,-11.474749223043458,1,1,1
480,BACARDI USA INC,2916,340,22486.6,1427075,17624378.72,89286.27,-17691178.389999997,-78674.31443615307,0.00023824956642082583,0.0012758804356877778,3.9706434054058866,12.350001730813025,66.1370588235294,53.787057092716374,0.813266541474637,1,1,1
480,BACARDI USA INC,4290,2232,24349.68,1427075,17624378.72,89286.27,-17689315.31,-72647.01347204563,0.001564038330150833,0.0013815908286382989,3.6668354573858877,12.350001730813025,10.909354838709678,-1.4406468921033468,-0.13205610353707606,1,1,1
480,BACARDI USA INC,2863,607,28478.93,1427075,17624378.72,89286.27,-17685186.06,-62099.19424641305,0.00042534554946306255,0.0016158827753560666,3.1351694041875873,12.350001730813025,46.91751235584844,34.56751062503541,0.7367720258238808,1,1,1
480,BACARDI USA INC,2933,861,43615.39,1427075,17624378.72,89286.27,-17670049.599999998,-40513.33623292145,0.0006033319902597972,0.002474719290417064,2.0471276308660773,12.350001730813025,50.656666666666666,38.30666493585364,0.7562018477828579,1,1,1
480,BACARDI USA INC,5317,14001,46063.29,1427075,17624378.72,89286.27,-17667601.7,-38355.058225324334,0.00981097699840583,0.0026136121296422075,1.9383389679721097,12.350001730813025,3.29,-9.060001730813024,-2.7537999181802504,1,1,1
480,BACARDI USA INC,2614,827,46309.73,1427075,17624378.72,89286.27,-17667355.259999998,-38150.417331303805,0.0005795070336177146,0.0026275950338861083,1.9280239811374413,12.350001730813025,55.99725513905683,43.647253408243806,0.7794534446350179,1,1,1
480,BACARDI USA INC,4092,4503,48354.97,1427075,17624378.72,89286.27,-17665310.02,-36532.56329183949,0.0031554052870381723,0.002743641110317675,1.8464755535987305,12.350001730813025,10.73838996224739,-1.6116117685656342,-0.15007946016409587,1,1,1
480,BACARDI USA INC,803,4130,54151.2,1427075,17624378.72,89286.27,-17659513.79,-32611.491139623864,0.002894031497994149,0.0030725168166381754,1.648832712848469,12.350001730813025,13.111670702179175,0.7616689713661504,0.05809091676162673,1,1,1
480,BACARDI USA INC,2611,1195,55256.05,1427075,17624378.72,89286.27,-17658408.939999998,-31957.421748387726,0.0008373771525673143,0.0031352055512343193,1.6158641451931508,12.350001730813025,46.23937238493724,33.889370654124214,0.7329115622936934,1,1,1
480,BACARDI USA INC,4903,14521,57938.79,1427075,17624378.72,89286.27,-17655726.2,-30473.06683484415,0.010175358688225916,0.0032874231154742233,1.5410447819155353,12.350001730813025,3.99,-8.360001730813025,-2.0952385290258206,1,1,1
480,BACARDI USA INC,12191,5831,66841.69,1427075,17624378.72,89286.27,-17646823.299999997,-26400.92328605096,0.0040859800641171624,0.003792569999880257,1.335787141228775,12.350001730813025,11.463160692848568,-0.8868410379644569,-0.07736444264606039,1,1,1
480,BACARDI USA INC,3831,18869,75287.31,1427075,17624378.72,89286.27,-17638377.68,-23428.088584915575,0.013222150202336948,0.004271771005156884,1.1859404991359102,12.350001730813025,3.9899999999999998,-8.360001730813025,-2.095238529025821,1,1,1
480,BACARDI USA INC,2123,996,79670.04,1427075,17624378.72,89286.27,-17633994.95,-22133.784481594335,0.0006979310828092427,0.004520445302823134,1.120700705058012,12.350001730813025,79.99,67.63999826918698,0.8456056790747216,1,1,1
480,BACARDI USA INC,4959,93921,92981.79000000001,1427075,17624378.72,89286.27,-17620683.2,-18950.68184856411,0.0658136397876776,0.005275748522952758,0.9602554435658853,12.350001730813025,0.9900000000000001,-11.360001730813025,-11.474749223043458,1,1,1
480,BACARDI USA INC,4200,9118,105930.82,1427075,17624378.72,89286.27,-17607734.169999998,-16621.91812543318,0.0063892927841914405,0.006010471159462239,0.8428733960522538,12.350001730813025,11.617769247642027,-0.7322324831709981,-0.06302694325931925,1,1,1
480,BACARDI USA INC,4881,7240,138403.6,1427075,17624378.72,89286.27,-17575261.389999997,-12698.557978260678,0.00507331429672582,0.007852963341223526,0.645115228216607,12.350001730813025,19.116519337016577,6.766517606203552,0.3539618006245048,1,1,1
480,BACARDI USA INC,810,13637,163809.63,1427075,17624378.72,89286.27,-17549855.36,-10713.567547890803,0.00955590981553177,0.009294491034405099,0.5450611786376662,12.350001730813025,12.012145633203785,-0.3378560976092402,-0.028126207251046278,1,1,1
480,BACARDI USA INC,2329,3506,170869.94,1427075,17624378.72,89286.27,-17542795.049999997,-10266.75321007311,0.002456773470210045,0.009695090120033464,0.5225393653207814,12.350001730813025,48.736434683399885,36.38643295258686,0.746596118262636,1,1,1
480,BACARDI USA INC,3460,3247,181724.53,1427075,17624378.72,89286.27,-17531940.459999997,-9647.536554366105,0.0022752833593188866,0.010310975092346405,0.49132756045647774,12.350001730813025,55.96690175546659,43.61690002465356,0.7793338322572638,1,1,1
480,BACARDI USA INC,3472,13695,242403.05,1427075,17624378.72,89286.27,-17471261.939999998,-7207.525623130566,0.009596552388627087,0.013753849361221626,0.3683380634030802,12.350001730813025,17.700113179992698,5.350111449179673,0.30226425078610036,1,1,1
480,BACARDI USA INC,6225,74494,297231.06,1427075,17624378.72,89286.27,-17416433.93,-5859.560548618304,0.05220048000280294,0.01686476809890068,0.30039347166477154,12.350001730813025,3.9899999999999998,-8.360001730813025,-2.095238529025821,1,1,1
480,BACARDI USA INC,2624,4565,303309.35,1427075,17624378.72,89286.27,-17410355.639999997,-5740.131532377752,0.003198850796209029,0.01720964777361525,0.2943736155842212,12.350001730813025,66.44235487404161,54.092353143228586,0.8141245632514742,1,1,1
480,BACARDI USA INC,3345,158180,314778.2,1427075,17624378.72,89286.27,-17398886.79,-5527.348078742429,0.11084210710719479,0.017860385605694702,0.2836482005424772,12.350001730813025,1.99,-10.360001730813025,-5.206031020509058,1,1,1
480,BACARDI USA INC,7990,33532,334984.68,1427075,17624378.72,89286.27,-17378680.31,-5187.903013952757,0.023497013121244505,0.019006892970352605,0.26653836826209487,12.350001730813025,9.99,-2.360001730813025,-0.23623640949079328,1,1,1
480,BACARDI USA INC,2622,13315,345401.85,1427075,17624378.72,89286.27,-17368263.139999997,-5028.422152342264,0.00933027346145087,0.019597958911768097,0.25849968666931,12.350001730813025,25.940807360120164,13.59080562930714,0.5239160616951662,1,1,1
480,BACARDI USA INC,2742,7598,371698.02,1427075,17624378.72,89286.27,-17341966.97,-4665.606496908431,0.005324177075486572,0.021089992782451966,0.24021185262165237,12.350001730813025,48.920508028428536,36.57050629761551,0.7475496018226909,1,1,1
480,BACARDI USA INC,5318,13278,373673.22,1427075,17624378.72,89286.27,-17339991.77,-4640.415968262323,0.009304346302752132,0.021202064818089655,0.2389421163229198,12.350001730813025,28.142281970176228,15.792280239363203,0.5611584823184937,1,1,1
480,BACARDI USA INC,2672,167517,383613.93,1427075,17624378.72,89286.27,-17330051.06,-4517.576058825601,0.117384860641522,0.021766096615064116,0.23275033312789242,12.350001730813025,2.29,-10.060001730813024,-4.393013856250229,1,1,1
480,BACARDI USA INC,4102,35519,385286.81,1427075,17624378.72,89286.27,-17328378.18,-4497.5269669885665,0.024889371616768564,0.02186101513824029,0.2317397525235811,12.350001730813025,10.84734395675554,-1.5026577740574858,-0.13852771517599535,1,1,1
480,BACARDI USA INC,8617,35262,395397.38,1427075,17624378.72,89286.27,-17318267.61,-4379.965190968134,0.024709282973915177,0.022434684721754552,0.22581401525725842,12.350001730813025,11.21312971470705,-1.1368720161059755,-0.10138757376674805,1,1,1
480,BACARDI USA INC,8534,69975,419150.25,1427075,17624378.72,89286.27,-17294514.74,-4126.089568120262,0.04903386297146261,0.023782412796449486,0.21301733686190097,12.350001730813025,5.99,-6.360001730813025,-1.0617699049771328,1,1,1
480,BACARDI USA INC,4228,19402,420367.98,1427075,17624378.72,89286.27,-17293297.009999998,-4113.8473510755975,0.013595641434402537,0.023851506295820224,0.21240026416855062,12.350001730813025,21.66621894650036,9.316217215687336,0.42998814138690034,1,1,1
